Date,Item_name,Sales,Price,coupon_num,coupon_rate,master_price,market_flag,sale_num,holiday,Closed_flag,CPI,precipitation,tempreture,Sales_lag_1,Sales_lag_7,tempreture_lag_1,precipitation_lag_1
2016/8/1,0,19992,168,0,0,168,FALSE,119,FALSE,FALSE,99.7,2,27.4,,,,
2016/8/2,0,22211,167,1,0.007518797,168,FALSE,133,FALSE,FALSE,,27,25.9,19992,,27.4,2
2016/8/3,0,20160,168,0,0,168,FALSE,120,FALSE,FALSE,,16,26.8,22211,,25.9,27
2016/8/4,0,19205,167,1,0.008695652,168,FALSE,115,FALSE,FALSE,,-100,28.1,20160,,26.8,16
2016/8/5,0,27555,167,0,0,168,TRUE,165,FALSE,FALSE,,-100,28.7,19205,,28.1,-100
2016/8/6,0,22378,167,1,0.007462687,168,FALSE,134,FALSE,FALSE,,-100,29.1,27555,,28.7,-100
2016/8/7,0,20295,165,3,0.024390244,168,FALSE,123,FALSE,FALSE,,-100,28.6,22378,,29.1,-100
2016/8/8,0,17762,166,2,0.018691589,168,FALSE,107,FALSE,FALSE,,0,28.5,20295,19992,28.6,-100
2016/8/9,0,19152,168,0,0,168,FALSE,114,FALSE,FALSE,,-100,31.9,17762,22211,28.5,0
2016/8/10,0,21042,167,1,0.007936508,168,FALSE,126,FALSE,FALSE,,-100,29.1,19152,20160,31.9,-100
2016/8/11,0,24864,168,0,0,168,FALSE,148,TRUE,FALSE,,0,27.3,21042,19205,29.1,-100
2016/8/12,0,20832,168,0,0,168,FALSE,124,FALSE,FALSE,,-100,26.7,24864,27555,27.3,0
2016/8/13,0,23547,167,1,0.007092199,168,FALSE,141,FALSE,FALSE,,0,26.5,20832,22378,26.7,-100
2016/8/14,0,16632,168,0,0,168,FALSE,99,FALSE,FALSE,,0,26,23547,20295,26.5,0
2016/8/15,0,18260,166,0,0,168,TRUE,110,FALSE,FALSE,,0.5,26.6,16632,17762,26,0
2016/8/16,0,25551,167,1,0.006535948,168,FALSE,153,FALSE,FALSE,,33,26.9,18260,19152,26.6,0.5
2016/8/17,0,18984,168,0,0,168,FALSE,113,FALSE,FALSE,,14,28.7,25551,21042,26.9,33
2016/8/18,0,15792,168,0,0,168,FALSE,94,FALSE,FALSE,,67,26.9,18984,24864,28.7,14
2016/8/19,0,13776,168,0,0,168,FALSE,82,FALSE,FALSE,,5,27.6,15792,20832,26.9,67
2016/8/20,0,13272,168,0,0,168,FALSE,79,FALSE,FALSE,,82,25.7,13776,23547,27.6,5
2016/8/21,0,13446,166,1,0.012345679,168,FALSE,81,FALSE,FALSE,,0,27.9,13272,16632,25.7,82
2016/8/22,0,14784,168,0,0,168,FALSE,88,FALSE,FALSE,,106.5,25.7,13446,18260,27.9,0
2016/8/23,0,11928,168,0,0,168,FALSE,71,FALSE,FALSE,,0.5,26.8,14784,25551,25.7,106.5
2016/8/24,0,12024,167,0,0,168,FALSE,72,FALSE,FALSE,,0,26.5,11928,18984,26.8,0.5
2016/8/25,0,15675,165,0,0,168,TRUE,95,FALSE,FALSE,,-100,28,12024,15792,26.5,0
2016/8/26,0,25217,167,1,0.006622517,168,FALSE,151,FALSE,FALSE,,-100,28.3,15675,13776,28,-100
2016/8/27,0,14112,168,0,0,168,FALSE,84,FALSE,FALSE,,2,24.3,25217,13272,28.3,-100
2016/8/28,0,17368,167,1,0.009615385,168,FALSE,104,FALSE,FALSE,,2,22.6,14112,13446,24.3,2
2016/8/29,0,6888,168,0,0,168,FALSE,41,FALSE,FALSE,,16,25.6,17368,14784,22.6,2
2016/8/30,0,9130,166,1,0.018181818,168,FALSE,55,FALSE,FALSE,,40.5,25.1,6888,11928,25.6,16
2016/8/31,0,9576,168,0,0,168,FALSE,57,FALSE,FALSE,,-100,26.8,9130,12024,25.1,40.5
2016/9/1,0,13608,168,0,0,168,FALSE,81,FALSE,FALSE,99.8,-100,27,9576,15675,26.8,-100
2016/9/2,0,9352,167,0,0,168,FALSE,56,FALSE,FALSE,,0,26.7,13608,25217,27,-100
2016/9/3,0,9130,166,1,0.018181818,168,FALSE,55,FALSE,FALSE,,0,27.2,9352,14112,26.7,0
2016/9/4,0,9405,165,1,0.01754386,168,FALSE,57,FALSE,FALSE,,3,26.7,9130,17368,27.2,0
2016/9/5,0,8964,166,0,0,168,TRUE,54,FALSE,FALSE,,0,28.4,9405,6888,26.7,3
2016/9/6,0,7138,166,0,0,168,FALSE,43,FALSE,FALSE,,0,28.8,8964,9130,28.4,0
2016/9/7,0,8085,165,1,0.020408163,168,FALSE,49,FALSE,FALSE,,4.5,27.1,7138,9576,28.8,0
2016/9/8,0,9185,167,0,0,168,FALSE,55,FALSE,FALSE,,11.5,26.4,8085,13608,27.1,4.5
2016/9/9,0,12600,168,0,0,168,FALSE,75,FALSE,FALSE,,0,27,9185,9352,26.4,11.5
2016/9/10,0,9130,166,1,0.018181818,168,FALSE,55,FALSE,FALSE,,0,26.6,12600,9130,27,0
2016/9/11,0,8400,168,0,0,168,FALSE,50,FALSE,FALSE,,5,23.2,9130,9405,26.6,0
2016/9/12,0,4704,168,0,0,168,FALSE,28,FALSE,FALSE,,0,24.7,8400,8964,23.2,5
2016/9/13,0,8016,167,0,0,168,FALSE,48,FALSE,FALSE,,34.5,22.6,4704,7138,24.7,0
2016/9/14,0,6012,167,0,0,168,FALSE,36,FALSE,FALSE,,0,23.1,8016,8085,22.6,34.5
2016/9/15,0,11928,168,0,0,168,TRUE,71,FALSE,FALSE,,24,24.1,6012,9185,23.1,0
2016/9/16,0,8232,168,0,0,168,FALSE,49,FALSE,FALSE,,3.5,22.9,11928,12600,24.1,24
2016/9/17,0,10624,166,1,0.015625,168,FALSE,64,FALSE,FALSE,,-100,25.3,8232,9130,22.9,3.5
2016/9/18,0,8064,168,0,0,168,FALSE,48,FALSE,FALSE,,2,24.6,10624,8400,25.3,-100
2016/9/19,0,10855,167,0,0,168,FALSE,65,TRUE,FALSE,,21.5,21.3,8064,4704,24.6,2
2016/9/20,0,6765,165,1,0.024390244,168,FALSE,41,FALSE,FALSE,,91.5,19.1,10855,8016,21.3,21.5
2016/9/21,0,7682,167,0,0,168,FALSE,46,FALSE,FALSE,,0,20.1,6765,6012,19.1,91.5
2016/9/22,0,15030,167,0,0,168,FALSE,90,TRUE,FALSE,,56.5,19.4,7682,11928,20.1,0
2016/9/23,0,15960,168,0,0,168,FALSE,95,FALSE,FALSE,,16.5,20.8,15030,8232,19.4,56.5
2016/9/24,0,10080,168,0,0,168,FALSE,60,FALSE,FALSE,,10.5,21.8,15960,10624,20.8,16.5
2016/9/25,0,10624,166,0,0,168,TRUE,64,FALSE,FALSE,,-100,23.6,10080,8064,21.8,10.5
2016/9/26,0,1503,167,0,0,168,FALSE,9,FALSE,FALSE,,0,25.4,10624,10855,23.6,-100
2016/9/27,0,2988,166,0,0,168,FALSE,18,FALSE,FALSE,,-100,25.6,1503,6765,25.4,0
2016/9/28,0,8016,167,0,0,168,FALSE,48,FALSE,FALSE,,0,26.5,2988,7682,25.6,-100
2016/9/29,0,2324,166,0,0,168,FALSE,14,FALSE,FALSE,,0,24.6,8016,15030,26.5,0
2016/9/30,0,6888,168,0,0,168,FALSE,41,FALSE,FALSE,,2.5,21.4,2324,15960,24.6,0
2016/10/1,0,8851,167,0,0,168,FALSE,53,FALSE,FALSE,100.4,1.5,19.7,6888,10080,21.4,2.5
2016/10/2,0,10920,168,0,0,168,FALSE,65,FALSE,FALSE,,-100,23.1,8851,10624,19.7,1.5
2016/10/3,0,3674,167,0,0,168,FALSE,22,FALSE,FALSE,,2,22.7,10920,1503,23.1,-100
2016/10/4,0,504,168,0,0,168,FALSE,3,FALSE,FALSE,,-100,24.9,3674,2988,22.7,2
